Global_Step,Curriculum_Lvl,Dist_to_Target,Reward,Terminated,Table_Collision,Self_Collision,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,J1_Vel,J2_Vel,J3_Vel,J4_Vel,J5_Vel,J6_Vel,Gripper_Pos,EE_X,EE_Y,EE_Z,Target_X,Target_Y,Target_Z,Handoff_X,Handoff_Y,Handoff_Z,Handoff_OK,Act_J1,Act_J2,Act_J3,Act_J4,Act_J5,Act_J6,Act_Gripper,Phase,Goal_X,Goal_Y,Goal_Z,Transport_X,Transport_Y,Transport_Z,Transport_OK,Placement_Error_M,Standoff_M,Spawn_Radius_M,Contact_Detected
23,0.0,1.4968,-0.0139,False,False,False,-0.5785,5.5048,0.8398,-1.7939,4.6622,1.1089,0.0524,-0.0346,-0.0336,-0.0357,-0.0332,0.0499,0.4042,-0.1039,0.4299,0.9815,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0697,-0.0190,-0.0387,-0.0774,0.0184,0.0508,-2.8761,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
24,0.0,1.4971,-0.0243,False,False,False,-0.5788,5.5035,0.8375,-1.7958,4.6600,1.1091,-0.0905,-0.0443,-0.1084,-0.0826,-0.0978,-0.0508,0.4179,-0.1077,0.4213,0.9844,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0463,-0.0241,-0.0577,-0.0441,-0.0521,-0.0258,0.5624,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
25,0.0,1.4965,-0.0106,False,False,False,-0.5800,5.5032,0.8354,-1.7976,4.6583,1.1086,0.0212,0.0399,-0.0496,-0.0643,-0.0294,0.0232,0.3925,-0.1064,0.4243,0.9826,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0186,0.0382,-0.0511,-0.0655,-0.0308,0.0225,-1.0892,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
26,0.0,1.4974,-0.0125,False,False,False,-0.5800,5.5032,0.8354,-1.7976,4.6583,1.1086,0.0212,0.0399,-0.0496,-0.0643,-0.0294,0.0232,0.3925,-0.1094,0.4248,0.9808,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0143,-0.0706,-0.0229,-0.0308,-0.0623,-0.0515,-1.9379,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
27,0.0,1.4969,-0.0027,False,False,False,-0.5796,5.5039,0.8345,-1.7988,4.6578,1.1091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3994,-0.1099,0.4278,0.9774,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0629,0.0170,-0.0457,-0.0795,-0.0555,-0.0728,1.6812,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
28,0.0,1.4965,-0.0181,False,False,False,-0.5790,5.5041,0.8340,-1.7996,4.6572,1.1083,0.0625,0.0163,-0.0447,-0.0782,-0.0550,-0.0733,0.4193,-0.1067,0.4337,0.9756,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0764,0.0216,-0.0273,0.0509,-0.0607,-0.0319,-2.7911,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
29,0.0,1.4987,-0.0332,False,False,False,-0.5805,5.5039,0.8361,-1.7974,4.6550,1.1095,-0.1045,-0.0117,0.1316,0.1453,-0.1439,0.0734,0.4993,-0.1123,0.4233,0.9812,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0549,-0.0062,0.0693,0.0765,-0.0758,0.0387,2.8477,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
30,0.0,1.4946,0.0020,False,False,False,-0.5822,5.5038,0.8379,-1.7953,4.6530,1.1105,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.5032,-0.1030,0.4307,0.9782,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0591,0.0754,0.0142,0.0595,0.0279,-0.0538,-2.8440,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
31,0.0,1.4986,-0.0185,False,False,False,-0.5816,5.5046,0.8381,-1.7948,4.6533,1.1100,0.0624,0.0747,0.0124,0.0575,0.0299,-0.0549,0.4832,-0.1066,0.4448,0.9708,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0711,-0.0048,0.0042,-0.0251,0.0198,-0.0186,0.7652,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
32,0.0,1.5009,-0.0175,False,False,False,-0.5816,5.5046,0.8381,-1.7948,4.6533,1.1100,0.0624,0.0747,0.0124,0.0575,0.0299,-0.0549,0.4832,-0.1123,0.4458,0.9683,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0089,0.0273,-0.0187,0.0649,0.0355,-0.0779,0.4852,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
33,0.0,1.5017,-0.0095,False,False,False,-0.5800,5.5063,0.8379,-1.7943,4.6539,1.1091,0.0330,-0.0107,-0.0386,-0.0617,0.0065,0.0142,0.4633,-0.1134,0.4473,0.9673,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0351,-0.0054,-0.0383,-0.0606,0.0071,0.0131,0.5004,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
34,0.0,1.4995,-0.0052,False,False,False,-0.5789,5.5062,0.8370,-1.7955,4.6539,1.1098,0.0480,0.0077,-0.0136,-0.0034,-0.0189,0.0489,0.4233,-0.1121,0.4461,0.9660,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0489,0.0075,-0.0143,-0.0046,-0.0188,0.0492,-2.2815,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
35,0.0,1.4970,-0.0056,False,False,False,-0.5789,5.5062,0.8370,-1.7955,4.6539,1.1098,0.0480,0.0077,-0.0136,-0.0034,-0.0189,0.0489,0.4233,-0.1057,0.4507,0.9649,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0524,-0.0647,0.0232,0.0792,-0.0014,-0.0243,0.5672,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
36,0.0,1.5007,-0.0349,False,False,False,-0.5758,5.5084,0.8366,-1.7937,4.6521,1.1120,0.1420,0.1410,-0.0139,0.1179,-0.0929,0.0826,0.4410,-0.1119,0.4533,0.9629,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0757,0.0742,-0.0076,0.0620,-0.0492,0.0444,1.1190,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
37,0.0,1.5009,-0.0305,False,False,False,-0.5758,5.5084,0.8366,-1.7937,4.6521,1.1120,0.1420,0.1410,-0.0139,0.1179,-0.0929,0.0826,0.4410,-0.1129,0.4389,0.9728,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0157,-0.0440,0.0133,-0.0324,0.0165,-0.0691,0.3757,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
38,0.0,1.4988,-0.0079,False,False,False,-0.5733,5.5110,0.8367,-1.7924,4.6511,1.1139,0.0145,-0.0096,0.0343,-0.0355,0.0332,0.0717,0.4295,-0.1075,0.4483,0.9676,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0199,-0.0012,0.0341,-0.0338,0.0319,0.0728,-0.4933,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
39,0.0,1.4946,-0.0062,False,False,False,-0.5727,5.5107,0.8375,-1.7934,4.6514,1.1159,0.0257,-0.0129,0.0179,-0.0308,-0.0268,0.0600,0.4532,-0.1035,0.4428,0.9690,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,0.0260,-0.0131,0.0185,-0.0315,-0.0262,0.0614,1.5214,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,True
40,0.0,1.4964,-0.0114,False,False,False,-0.5727,5.5107,0.8375,-1.7934,4.6514,1.1159,0.0257,-0.0129,0.0179,-0.0308,-0.0268,0.0600,0.4532,-0.1020,0.4532,0.9656,0.8020,-0.2600,0.0099,0.8020,-0.2600,0.2299,True,-0.0402,0.0058,0.0470,0.0159,-0.0218,-0.0664,-2.9353,grasp,0.8020,-0.2600,0.0099,0.0000,0.0000,0.0000,False,,0.0500,0.0000,False
